16231@1772032181.088375:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.103663:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.103667:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.103673:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.119677:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.119681:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.119687:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.135235:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.135239:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.135245:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.151012:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.151016:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.151023:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.166845:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.166848:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.166855:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.182093:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.182102:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.182109:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.197373:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.197376:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.197383:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.255718:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.255721:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032181.255728:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.275544:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.275547:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032181.275553:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.291604:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.291607:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.291614:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.526325:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.526329:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032181.526335:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.557597:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.557600:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032181.557607:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.588865:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032181.588869:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.588875:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.620679:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.620683:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.620690:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.652679:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.652682:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.652689:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.684428:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032181.684431:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032181.684438:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032194.348802:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032194.348805:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032194.348811:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032194.700257:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032194.700261:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032194.700267:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.561479:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.561482:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032195.561488:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032195.595477:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032195.595484:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.595490:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.607579:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.607582:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.607588:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.622438:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.622441:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.622447:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.638366:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.638369:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032195.638375:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032195.654286:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
16231@1772032195.654289:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.654295:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.670145:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.670148:vfio_region_write  (0000:25:00.0:region2+0x804, 0x48, 4)
16231@1772032195.670154:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.686092:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x48
16231@1772032195.686095:vfio_region_write  (0000:25:00.0:region2+0x804, 0x49, 4)
16231@1772032195.686101:vfio_region_read  (0000:25:00.0:region2+0x804, 4) = 0x49
