16231@1772032175.437118:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437267:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x57
16231@1772032175.437273:vfio_region_write  (0000:25:00.0:region0+0x48, 0x58, 1)
16231@1772032175.437279:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437282:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.437288:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437422:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x58
16231@1772032175.437427:vfio_region_write  (0000:25:00.0:region0+0x48, 0x59, 1)
16231@1772032175.437433:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437437:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.437443:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437568:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x59
16231@1772032175.437573:vfio_region_write  (0000:25:00.0:region0+0x48, 0x5a, 1)
16231@1772032175.437579:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437583:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.437589:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437708:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5a
16231@1772032175.437713:vfio_region_write  (0000:25:00.0:region0+0x48, 0x5b, 1)
16231@1772032175.437719:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437722:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.437728:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437861:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5b
16231@1772032175.437866:vfio_region_write  (0000:25:00.0:region0+0x48, 0x5c, 1)
16231@1772032175.437872:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437876:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.437881:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.437999:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5c
16231@1772032175.438004:vfio_region_write  (0000:25:00.0:region0+0x48, 0x5d, 1)
16231@1772032175.438010:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.438013:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.438019:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.438141:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5d
16231@1772032175.438145:vfio_region_write  (0000:25:00.0:region0+0x48, 0x5e, 1)
16231@1772032175.438151:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.438154:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.438160:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.438287:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5e
16231@1772032175.438294:vfio_region_write  (0000:25:00.0:region0+0x48, 0x5f, 1)
16231@1772032175.438301:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.438304:vfio_region_write  (0000:25:00.0:region0+0x4c, 0x3, 1)
16231@1772032175.438310:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
16231@1772032175.438432:vfio_region_read  (0000:25:00.0:region0+0x58, 1) = 0x5f
16231@1772032175.438437:vfio_region_write  (0000:25:00.0:region0+0x48, 0x60, 1)
16231@1772032175.438443:vfio_region_read  (0000:25:00.0:region0+0x4c, 1) = 0x3
